field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,_GC_TYPE,_CLEANADDR,_X,_Y
1,강원도 재활병원,시도립,강원도재활병원설치및운영에관한조례,강원도,해당없음,32200641,병원,165,24227,강원도 춘천시 충열로 142번길 24-16,www.grh.or.kr,033-248-7700,033-248-7723,,정,강원특별자치도 춘천시 충열로142번길 24-16 (우두동),127.74121767728347,37.90372694119799
2,강원도 삼척의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(강원도),지방의료원,32100060,종합병원,152,25920,강원도 삼척시 오십천로 418,http://ksmc.or.kr,033-572-1141,033-573-8424,,정,강원특별자치도 삼척시 오십천로 418 (남양동),129.16384210841304,37.440187819438876
4,강원도 원주의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(강원도),지방의료원,32100086,종합병원,237,26448,강원도 원주시 서원대로 387(개운동),www.kwmc.or.kr,033-760-4500,033-761-5121,,정,강원특별자치도 원주시 서원대로 387 (개운동),127.94904260241238,37.33280345302251
5,강원도 강릉의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(강원도),지방의료원,32100159,종합병원,137,25535,강원도 강릉시 경강로 2007(남문동 164-1),http://www.gnmc.or.kr,033-646-6910,033-610-1415,,정,강원특별자치도 강릉시 경강로 2007 (남문동),128.8887708161526,37.74928066957604
3,강원도 영월의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(강원도),지방의료원,32100078,종합병원,214,26234,강원도 영월군 영월읍 중앙1로 59,http://www.youngwol.org,033-370-9117,033-370-9137,,정,강원특별자치도 영월군 중앙1로 59 (영월읍),128.46528328794182,37.18652034825699
7,춘천시 노인전문병원,시군구립,노인복지법 춘천시노인전문병원설치및 운영에관한조례,강원도,해당없음,32280271,요양병원,166,24216,강원도 춘천시 세실로 252,http://ccsilverhospital.co.kr,033-240-7500,033-240-7591,,정,강원특별자치도 춘천시 세실로 252 (동면),127.75623936104627,37.880184828744824
6,강원도 속초의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(강원도),지방의료원,32100141,종합병원,190,24821,강원도 속초시 영랑호반길 3,http://www.sokchomc.co.kr,033-630-6000,033-630-6004,,정,강원특별자치도 속초시 영랑호반길 3 (영랑동),128.58906701700556,38.21662236877058
8,강원도립강릉요양병원,시도립,강원도립강릉요양병원 설치 및 운영 조례,강원도,해당없음,32280424,요양병원,124,25535,강원도 강릉시 경강로 2007,http://www.gnmch.or.kr,033-640-8800,033-640-8825,,정,강원특별자치도 강릉시 경강로 2007 (남문동),128.8887708161526,37.74928066957604
9,정선군립병원,시군구립,군립의료기관 설립 및 운영에관한조례,강원도,해당없음,32201184,병원,61,26150,강원도 정선군 사북읍 지장천로 727,없음,033-592-3121,033-592-3125,,정,강원특별자치도 정선군 지장천로 727 (사북읍),128.8259744555268,37.22524894791621
12,경기도의료원 안성병원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(경기도),지방의료원,31100341,종합병원,151,17572,경기도 안성시 고수2로 17번지(당왕동),http://www.medical.or.kr/_as_gpmc/,031-8046-5000,031-8046-5555,,유,경기도 안성시 고수2로 18 (당왕동),127.25848175794546,37.014686122408506
11,경기도의료원 이천병원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(경기도),지방의료원,31101151,종합병원,115,17366,경기도 이천시 경충대로 2742,http://www.medical.or.kr/_ic_gpmc/,031-639-4800,031-636-7500,,정,경기도 이천시 경충대로 2742 (관고동),127.4333353961508,37.28276806830799
13,경기도의료원 의정부병원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(경기도),지방의료원,31100287,종합병원,227,11671,경기도 의정부시 흥선로 142 (의정부동),http://www.medical.or.kr/_uj_gpmc/,031-828-5000,031-828-5024,,정,경기도 의정부시 흥선로 142 (의정부동),127.04265521342191,37.74105274407721
14,경기도의료원 포천병원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(경기도),지방의료원,31100317,종합병원,150,11142,경기도 포천시 포천로 1648(신읍동),http://www.medical.or.kr/_pc_gpmc/,031-539-9114,031-532-0137,,정,경기도 포천시 포천로 1648 (신읍동),127.19828531503029,37.90334209081855
10,경기도의료원 수원병원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(경기도),지방의료원,31100988,종합병원,143,16316,경기도 수원시 장안구 수성로 245번길 69,http://www.medical.or.kr/_sw_gpmc/,031-888-0114,031-244-0242,,정,경기도 수원시 장안구 수성로245번길 69 (정자동),126.99632857116077,37.29188487504315
15,경기도의료원 파주병원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(경기도),지방의료원,31100325,종합병원,192,10922,경기도 파주시 중앙로 207(금촌동),http://www.medical.or.kr/_pj_gpmc/,031-940-9100,031-944-7729,,정,경기도 파주시 중앙로 207 (금촌동),126.78023080550831,37.75501540430485
17,경기도노인전문 평택병원,시도립,경기도노인전문병원 설치 및 운영에 관한 조례,경기도,해당없음,31284311,요양병원,230,17723,경기도 평택시 삼남로 312(도일동),goodmsilver.co.kr,031-669-9988,031-669-9933,,정,경기도 평택시 삼남로 312 (도일동),127.0975814499387,37.053855141008846
19,경기도노인전문여주병원,시도립,경기도노인전문병원 설치 및 운영에 관한 조례,경기도,해당없음,31282610,요양병원,189,12613,경기도 여주시 북내면 도예로 361-14,www.noinhospital.or.kr,031-886-4100,031-886-4055,2006(증축),정,경기도 여주시 도예로 361-14 (북내면),127.66959821908776,37.32501015890514
16,경기도노인전문 용인병원,시도립,경기도노인전문병원 설치 및 운영에 관한 조례,경기도,해당없음,31282628,요양병원,199,17089,경기도 용인시 기흥구 중부대로 940,www.silvernet.or.kr,031-288-0400,031-288-0405,,정,경기도 용인시 기흥구 중부대로 940 (상하동),127.15565814434505,37.25029939533367
21,경기도노인전문 동두천병원,시도립,경기도노인전문병원 설치 및 운영에 관한 조례,경기도,해당없음,31281982,요양병원,199,11322,경기도 동두천시 탑신로 536,gdsilver.co.kr,031-860-4114,031-860-4116,,정,경기도 동두천시 탑신로 536 (탑동동),127.13591562028277,37.90092342980938
18,경기도노인전문 시흥병원,시도립,경기도노인전문병원 설치 및 운영에 관한 조례,경기도,해당없음,31283535,요양병원,264,14978,경기도 시흥시 하중로 285,www.gshospital.com,031-500-7100,031-500-7382,,정,경기도 시흥시 하중로 285 (광석동),126.80709290092733,37.38624212804188
27,경상남도립 사천노인전문병원,시도립,경상남도립 정신병원 및 노인전문병원 설치조례,경상남도,해당없음,38282631,요양병원,228,52509,경남 사천시 축동면 서삼로1110-35,http://www.4000silver.com,055-794-2900,055-794-1299,,정,경상남도 사천시 서삼로 1110-35 (축동면),128.04541938788861,35.09255428919787
23,안산시립 노인전문병원,시군구립,안산시립 노인전문병원 설치 및 운영에 관한 조례,경기도,해당없음,31281362,요양병원,226,15585,경기 안산시 상록구 차돌배기로 24,http://www.bumomam.or.kr,031-8040-5114,031-408-5113,,정,경기도 안산시 상록구 차돌배기로 24 (사동),126.84612521929837,37.299651771006324
26,경상남도립정신병원,시도립,경상남도립 정신병원 및  노인전문병원 설치조례,경상남도,해당없음,38200961,병원,350,52509,경남 사천시 축동면 서삼로 1110-35,www.soon-young.co.kr,055-854-6000,055-854-7009,,정,경상남도 사천시 서삼로 1110-35 (축동면),128.04541938788861,35.09255428919787
24,부천시립 노인전문병원,시군구립,부천시 노인전문병원 및 노인복지시설 설치.운영에 관한 조례,경기도,해당없음,31287221,요양병원,248,14478,경기도 부천시 까치로 26,www.bucheongeriatrichospital.com,032-713-7300,032-713-7333,,정,경기도 부천시 오정구 까치로 26 (작동),126.80836193241012,37.50910166124618
20,경기도노인전문 남양주병원,시도립,경기도노인전문병원 설치 및 운영에 관한 조례,경기도,해당없음,31283331,요양병원,231,12025,경기도 남양주시 수동면 외방로 172번길32,www.gngh.or.kr/,031-590-5000,031-590-5010,,정,경기도 남양주시 외방로172번길 32 (수동면),127.30786806080899,37.7377361388393
29,경상남도립 김해노인전문병원,시도립,경상남도립 정신병원 및 노인전문병원 설치조례,경상남도,해당없음,38280329,요양병원,175,50880,경남 김해시 김해대로 1814-39(삼계동),http//www.gimhaenoin.co.kr,055-330-2000,055-330-2004,,정,경상남도 김해시 김해대로 1814-39 (삼계동),128.86100733224717,35.26161798827532
25,경상남도립 통영노인전문병원,시도립,경상남도립 정신병원 및 노인전문병원 설치조례,경상남도,해당없음,38280817,요양병원,280,53000,경남 통영시 도산면 남해안대로1818,http://www.gnsilver.com,055-640-1900,055-640-1909,,정,경상남도 통영시 남해안대로 1818 (도산면),128.35959459215647,34.9129378304252
30,경상남도립 양산노인전문병원,시도립,경상남도립 정신병원 및 노인전문병원 설치조례,경상남도,해당없음,38280353,요양병원,199,50509,경상남도 양산시 상북면 양산대로 1870-64,http://www.gygh.co.kr,055-375-7275,055-375-7582,,정,경상남도 양산시 양산대로 1870-64 (상북면),129.0712722384069,35.42927687710344
22,경기도립정신병원,시도립,경기도립정신병원 설치 및 운영에 관한 조례,경기도,해당없음,31202284,병원,270,17089,경기도 용인시 기흥구 중부대로 940,www.yonginmh.co.kr,031-288-0114,031-288-0107,,정,경기도 용인시 기흥구 중부대로 940 (상하동),127.15565814434505,37.25029939533367
28,시립창원 요양병원,시군구립,창원시립요양병원의 설치 및 운영에 관한 조례,경상남도,해당없음,38280141,요양병원,175,51104,창원시 의창구 북면 단내로 499-32,http://www.hyomind.co.kr,055-298-2442,055-298-7476,,정,경상남도 창원시 의창구 단내로 499-32 (북면),128.5742962282528,35.34935302683506
32,경상남도 마산의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(경상남도),지방의료원,38100029,종합병원,286,51264,창원시 마산합포구3.15대로 231,http://www.mmc.or.kr/,055-249-1000,055-249-1008,,정,경상남도 창원시 마산합포구 3.15대로 231 (장군동4가),128.5655606587254,35.19915054769358
31,거창군립 노인요양병원,시군구립,거창군립노인요양병원 설치 및 운영조례,경상남도,해당없음,38280396,요양병원,100,50141,경상남도 거창군 거창읍 운정3길 180,http://www.gcnoin.or.kr,055-943-3333,055-943-9815,,정,경상남도 거창군 운정3길 180 (거창읍),127.89083348079102,35.675840021151565
33,남해군립 노인전문병원,시군구립,남해군립 노인전문병원 설치 및 운영 조례,경상남도,해당없음,38281121,요양병원,95,52417,경상남도 남해군 남해읍 화전로173-1,없음,055-864-2201,055-864-0022,,정,경상남도 남해군 화전로 173-1 (남해읍),127.89224818789357,34.84679135622101
36,경상북도 포항의료원,특수법인,지방의료원의 설립 및운영에 관한 법률,경상북도,지방의료원,37100041,종합병원,297,37688,경상북도 포항시 북구 용흥로 36,http://www.pmc.or.kr,054-247-0551,054-247-0559,,정,경상북도 포항시 북구 용흥로 36 (용흥동),129.35508046946057,36.03475032650625
42,경상북도립김천노인전문요양병원,도립,경상북도립김천노인전문요양병원 설치 및 운영조례제 4조의 규정,경상북도,해당없음,37280295,요양병원,236,39500,경상북도 김천시 어모면 신애길 100-10,www.gimcheonhp.co.kr,054-420-7200,054-437-6005,,정,경상북도 김천시 신애길 100-10 (어모면),128.05239890899352,36.21124516103031
38,경상북도 안동의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,경상북도,지방의료원,37100351,종합병원,210,36694,경상북도 안동시 태사2길 55,http://amc.or.kr,054-850-6000,054-858-8950,,정,경상북도 안동시 태사2길 55 (북문동),128.7320662592482,36.56821503581898
34,시립마산 요양병원,시군구립,창원시립요양병원의 설치 및 운영에 관한 조례,경상남도,해당없음,38281228,요양병원,295,51777,경상남도 창원시 마산합포구 현동로 15,http://www.taebonghp.co.kr,055-221-2700,055-221-2755,,정,경상남도 창원시 마산합포구 현동로 15 (우산동),128.55186187490995,35.15400400946872
39,울진군의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,울진군,지방의료원,37201603,병원,79,36324,경상북도 울진군 울진읍 현내항길 71,http://www.umc.or.kr,054-785-7000,054-785-7020,,정,경상북도 울진군 현내항길 71 (울진읍),129.40972480147727,36.99267572265462
41,경주시립 노인전문요양병원,시립,경주시립노인전문요양병원 설치 및 운영 조례,경상북도,해당없음,37281372,요양병원,199,38049,경상북도 경주시 현곡면 충현로 610-120,http://www.kjho.co.kr/,054-743-6200,054-743-3663,,정,경상북도 경주시 충현로 610-120 (현곡면),129.16647406481596,35.87643854643839
35,의령군립노인전문병원,시군구립,의령군립 노인전문병원 설치 및 운영조례,경상남도,해당없음,38283191,요양병원,140,52103,경상남도 의령군 부림면 대한로 1655,http://www.silvermedi.or.kr,055-574-0009,055-573-5119,,정,경상남도 의령군 대한로 1655 (부림면),128.3131810838661,35.46462042786502
37,경상북도 김천의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,경상북도,지방의료원,37100394,종합병원,260,39579,경상북도 김천시 모암길 24(모암동),www.gcmc.or.kr,054-429-8114,054-433-8254,,정,경상북도 김천시 모암길 24 (모암동),128.1264095121283,36.12250328487158
45,영주시립노인전문요양병원,시립,영주시립노인전문요양병원 설치 및 운영 조례,경상북도,해당없음,37281569,요양병원,199,36051,경상북도 영주시 안정면 장안로 697,www.yjctm.com/,054-631-1500,054-631-1504,,정,경상북도 영주시 장안로 697 (안정면),128.56488983284638,36.830153473613564
44,경상북도립 안동노인전문요양병원,도립,경상북도립노인전문요양병원설치 및 운영조례,경상북도,해당없음,37280015,요양병원,402,36755,경상북도 안동시 남후면 남일로 1463,www.andongyuri.co.kr,054-851-6000,054-851-6474,,정,경상북도 안동시 남일로 1463 (남후면),128.68941277376388,36.52334570622319
46,상주시립 노인요양병원,시립,상주시 노인전문요양병원 설치 및 운영 조례,경상북도,해당없음,37281721,요양병원,233,37242,경상북도 상주시 용마로 190-45(도남동),www.sjsh.co.kr,054-530-5300,054-532-5301,,정,경상북도 상주시 용마로 190-45 (도남동),128.24290231553613,36.43660719839659
47,시립문경요양병원,시립,문경시 시립노인전문요양병원 설치 및 운영 조례,경상북도,해당없음,37280996,요양병원,199,36917,경상북도 문경시 문경읍 여우목로 31,http://mg.dhu.ac.kr,054-550-7000,054-571-1540,,정,경상북도 문경시 여우목로 31 (문경읍),128.11168276181084,36.73182886169885
48,경상북도립 경산노인전문요양병원,도립,경상북도립노인전문요양병원설치및운영조례,경상북도,해당없음,37280040,요양병원,320,38646,경산시 경안로 23-10,gssilver.co.kr,053-816-3322,053-816-3305,,정,경상북도 경산시 경안로 23-10 (상방동),128.739133570678,35.80928726886567
43,구미시립 노인요양병원,시립,구미시립노인요양병원 설치 및 운영 조례,경상북도,해당없음,37281313,요양병원,258,39203,경상북도 구미시 야은로 37-1,http://www.gumihosp.or.kr/,054-440-1000,054-440-1051,,정,경상북도 구미시 야은로 37-1 (부곡동),128.2903277559762,36.15319647319889
40,경상북도포항노인전문요양병원,도립,경상북도립노인전문요양병원설치 및 운영 조례,경상북도,해당없음,37280511,요양병원,166,37688,경상북도 포항시 북구 용흥로 36,http://www.pmc.or.kr,054-247-0551,054-247-0559,,정,경상북도 포항시 북구 용흥로 36 (용흥동),129.35508046946057,36.03475032650625
51,고령군립요양병원,군립,고령군립노인복지병원 설치 및 운영 조례,경상북도,해당없음,37280198,요양병원,94,40135,경상북도 고령군 대가야읍 중앙로 31,gyhospital.co.kr,054-956-8700,054-956-8702,,정,경상북도 고령군 중앙로 31 (대가야읍),128.2719576111613,35.73028844810451
53,봉화군립노인전문요양병원,군립,봉화군립노인전문요양병원설치 및 운영조례,경상북도,해당없음,37280252,요양병원,139,36239,경상북도 봉화군 봉화읍 보밑길 9,www.bhhospital.co.kr,054-674-0011,054-674-0010,,정,경상북도 봉화군 보밑길 9 (봉화읍),128.73378577622282,36.89178867048356
57,근로복지공단 안산병원,특수법인,산업재해보상보험법,고용노동부,근로복지공단,31101020,종합병원,462,15324,경기도 안산시 상록구 구룡로 87(일동),www.kcomwel.or.kr/hospital/ansan,031-500-1114,031-506-8002,,정,경기도 안산시 상록구 구룡로 87 (일동),126.87472019970296,37.316076890034694
54,울진군의료원요양병원,군립,의료법,경상북도,해당없음,37282026,요양병원,75,36324,경상북도 울진군 울진읍 현내항길 71,http://www.umc.or.kr,054-785-7000,054-785-7622,,정,경상북도 울진군 현내항길 71 (울진읍),129.40972480147727,36.99267572265462
49,의성군공립요양병원,군립,의성군공립요양병원 설치 및 운영에 관한 조례,경상북도,해당없음,37283219,요양병원,170,37333,경상북도 의성군 의성읍 안평의성로 1122-30,http://www.uschp.kr,054-834-7400,054-834-9916,,정,경상북도 의성군 안평의성로 1122-30 (의성읍),128.68106698080206,36.35965256509713
56,근로복지공단 인천병원,특수법인,산업재해보상보험법,고용노동부,근로복지공단,31101208,종합병원,354,21417,인천광역시 부평구 무네미로 446(구산동),www.kcomwel.or.kr/hospital/incheon,032-500-0114,032-512-9932,,정,인천광역시 부평구 무네미로 446 (구산동),126.7537941143184,37.47668909998721
50,군립청도노인요양병원,군립,청도군립노인요양병원설치 및 운영 조례,경상북도,해당없음,37280228,요양병원,95,38329,경북 청도군 화양읍 청화로 79-7,없음,054-370-5450,054-370-5555,,정,경상북도 청도군 청화로 79-7 (화양읍),128.73686655247823,35.648716199648355
62,근로복지공단 태백병원,특수법인,산업재해보상보험법,고용노동부,근로복지공단,32100221,종합병원,464,26052,강원도 태백시 보드미길8(장성동),www.kcomwel.or.kr/hospital/taebaek,033-580-3114,033-581-8547,,정,강원특별자치도 태백시 보드미길 8 (장성동),129.00425783432502,37.10403803049087
60,근로복지공단 순천병원,특수법인,산업재해보상보험법,고용노동부,근로복지공단,36100749,종합병원,270,57947,전라남도 순천시 조례 1길 24(조례동),www.kcomwel.or.kr/hospital/suncheon,061-720-7114,061-720-7102,,정,전라남도 순천시 조례1길 24 (조례동),127.52496998312171,34.961265463991474
59,근로복지공단 대구병원,특수법인,산업재해보상보험법,고용노동부,근로복지공단,37203631,병원,235,41405,대구광역시 북구 학정로 515(학정동),www.kcomwel.or.kr/hospital/daegu,053-715-7575,053-715-7729,,정,대구광역시 북구 학정로 515 (학정동),128.56403716328506,35.950892652232675
63,근로복지공단 동해병원,특수법인,산업재해보상보험법,고용노동부,근로복지공단,32200935,병원,333,25738,강원도 동해시 하평로 11(평릉동),www.kcomwel.or.kr/hospital/donghae,033-530-3100,033-532-3150,,정,강원특별자치도 동해시 하평로 11 (평릉동),129.10603582804947,37.53225128282322
52,칠곡군립노인요양병원,군립,칠곡군립 노인전문 요양병원 설치 및 운영 조례,경상북도,해당없음,37281691,요양병원,136,39912,경상북도 칠곡군 왜관읍 금남5길 58,"www.chilgok8899,kr",054-976-7777,054-976-7780,,정,경상북도 칠곡군 금남5길 58 (왜관읍),128.41231329852184,35.92549118075482
68,광주시립제2요양병원,시도립,광주광역시립정신병원 및 요양병원 설치 · 운영조례,광주광역시,해당없음,36281603,요양병원,148,61748,광주광역시 남구 덕남길 100,www.gjcityhospital.or.kr,062-612-9800,062-612-9898,,정,광주광역시 남구 덕남길 100 (덕남동),126.89753909220151,35.09390815676942
55,울릉군 노인요양병원,군립,울릉군 노인전문 요양병원 설치 및 운영조례,경상북도,해당없음,37281631,요양병원,42,40217,경상북도 울릉군 울릉읍 울릉순환로 396-18,없음,054-790-6923,054-791-8843,,정,경상북도 울릉군 울릉순환로 396-18 (울릉읍),130.89952052046922,37.48590994787096
66,광주시립정신병원,시도립,광주광역시립정신병원 및 요양병원 설치 · 운영조례,광주광역시,해당없음,36201197,병원,296,62407,광주광역시 광산구 삼도로 84-3(삼거동),www.gcmh.or.kr,062-949-5200,062-944-5225,,정,광주광역시 광산구 삼도로 84-3 (삼거동),126.66676998898082,35.1629099706588
69,호남권역재활병원,시도립,"장애인복지법 59조, 광주광역시 호남권역재활병원 설치 및 운영 조례",광주광역시,해당없음,36203718,병원,173,61027,광주광역시 북구 하서로 590(본촌동),http://honam.chosun.ac.kr,062-613-9000,062-573-2206,,정,광주광역시 북구 하서로 590 (본촌동),126.88318465832064,35.225452215724744
64,근로복지공단 정선병원,특수법인,산업재해보상보험법,고용노동부,근로복지공단,32200927,병원,210,26129,강원도 정선군 정선읍 봉양1길 145(봉양4리),www.kcomwel.or.kr/hospital/jeongseon,033-560-7100,033-562-8110,,정,강원특별자치도 정선군 봉양1길 145 (정선읍),128.65872599724884,37.38309018311789
58,근로복지공단 창원병원,특수법인,산업재해보상보험법,고용노동부,근로복지공단,38100517,종합병원,260,51524,경상남도 창원시 성산구 창원대로 721(중앙동),www.kcomwel.or.kr/hospital/changwon,055-280-7777,055-282-5578,,정,경상남도 창원시 성산구 창원대로 721 (중앙동),128.67107740494927,35.21844666634678
71,강릉원주대학교치과병원,특수법인,국립대학치과병원 설치법,교육부,국립대학치과병원,32400012,치과병원,15,25457,강원도 강릉시 죽헌로 7,http://www.gwnudh.or.kr,033-640-3114,033-640-3113,,대,강원특별자치도 강릉시,128.8831068013977,37.70960491566386
61,근로복지공단 대전병원,특수법인,산업재해보상보험법,고용노동부,근로복지공단,34100326,종합병원,294,34384,대전광역시 대덕구 계족로 637(법동),www.kcomwel.or.kr/hospital/daejeon,042-670-5114,042-631-8260,,정,대전광역시 대덕구 계족로 637 (법동),127.42789388623197,36.36922254660015
75,칠곡경북대학교병원,특수법인,국립대학병원 설치법,교육부,국립대학병원,37100467,종합병원,605,41404,대구광역시 북구 호국로 807,http://www.knumc.org/,053-200-2114,053-200-3339,,정,대구광역시 북구 호국로 807 (학정동),128.56442027776146,35.956743545467475
74,경북대학교치과병원,특수법인,국립대학치과병원 설치법,교육부,국립대학치과병원,37400592,치과병원,0,41940,대구광역시 중구 달구벌대로 2175번지,http://www.knudh.kr/,053-600-7114,053-600-7113,,정,대구광역시 중구 달구벌대로 2175 (삼덕동2가),128.60139453581414,35.86389847136311
77,부산대학교병원,특수법인,국립대학병원 설치법,교육부,국립대학병원,21100021,상급종합병원,1310,49241,부산광역시 서구 구덕로 179,http://www.pnuh.or.kr/pnuh,051-240-7000,,,정,부산광역시 서구 구덕로 179 (아미동1가),129.0177055670931,35.100735139817075
78,양산부산대학교병원,특수법인,국립대학병원 설치법,교육부,국립대학병원,38100509,상급종합병원,1174,50612,경남 양산시 물금읍 금오로 20,http://www.pnuyh.or.kr/pnuh,055-360-1000,,,정,경상남도 양산시 금오로 20 (물금읍),129.00602541293662,35.3277121744045
72,충남대학교병원,특수법인,국립대학병원 설치법,교육부,국립대학병원,34100016,상급종합병원,1353,35015,대전광역시 중구 문화로 282,https://www.cnuh.co.kr,042-280-7100,,,정,대전광역시 중구 문화로 282 (대사동),127.41519244019936,36.316754763313625
