field1,field2,field3,field4,field5,_GC_TYPE,_CLEANADDR,_X,_Y
에벤에셀실버타운요양원,"요양원,요양센터","경북 경산시 강변동로 264 에벤에셀빌 3층, 4층, 5층","중방동 232-3 에벤에셀빌 3층, 4층, 5층",38611,정,경상북도 경산시 중방동 232-3,128.73376547566653,35.83321761461749
행복한실버타운요양원,"요양원,요양센터",충남 논산시 부적면 계백로 1493,마구평리 9-9,32914,정,충청남도 논산시 부적면 마구평리 9-9,127.13908356730958,36.21398728473575
장성누리타운관리사무소,관리사무소,전남 장성군 장성읍 청운11길 11,영천리 1475-5,,정,전라남도 장성군 장성읍 영천리 1475-5,126.78231175802148,35.304128734113554
햇살실버타운,"요양원,요양센터",경북 구미시 구미중앙로42길 8,송정동 442-3,39271,정,부산광역시 해운대구 송정동 442-3,129.19648733677792,35.175822624014536
동서변실버타운,"요양원,요양센터",대구 북구 동변로20길 26,동변동 281,41412,정,대구광역시 북구 동변동 281,128.6016644161646,35.92230725911469
수안보실버타운,생활형숙박시설,충북 충주시 수안보면 관동길 63 . 101호,온천리 36-1 . 101호,27497,정,충청북도 충주시 수안보면 온천리 36-1,127.99884856101278,36.85021796816408
부영실버타운아파트,아파트,전북 김제시 하동1길 79-1,하동 404-20,54366,정,전북특별자치도 김제시 하동 404-20,126.89586346754864,35.81417056971523
상주연세실버타운,"요양원,요양센터",경북 상주시 낙동면 영남제일로 841,신상리 474,37247,정,경상북도 상주시 낙동면 신상리 474,128.23978964367743,36.403568231940994
하당실버타운요양원,"요양원,요양센터",전남 목포시 백년대로307번길 22-1 하당실버타운요양원,상동 25-1 하당실버타운요양원,58665,정,경기도 여주시 상동 25-1,127.65277149325321,37.28890649620896
푸른실버타운,"요양원,요양센터",대구 동구 안심로22길 40-7 동흥타워,율하동 1444,41106,정,경상남도 김해시 율하동 1444,128.80717713171177,35.170937002064214
신도곡실버타운,"요양원,요양센터",전남 화순군 도곡면 지석로 1218-18,대곡리 779-1,58155,정,전라남도 담양군 금성면 대곡리 779-1,127.02730219718465,35.34118650368904
둥지원 실버타운,"요양원,요양센터",경기 양평군 용문면 용문로621번길 23-24,마룡리 39-1,,정,경기도 양평군 용문면 마룡리 39-1,127.60788714375094,37.5048981726514
효누림실버타운 본관,"요양원,요양센터",경기 고양시 일산동구 고양대로 866-29,중산동 27-29,10311,정,경기도 고양시 일산동구 중산동 27-29,126.79062238409146,37.677875671174014
호계실버타운요양원,"요양원,요양센터",경기 안양시 동안구 엘에스로 45,호계동 711-1,14121,정,경상남도 양산시 호계동 711-1,129.06879532910395,35.36851147016344
시화실버타운요양원,"요양원,요양센터",경기 시흥시 서촌상가4길 20,정왕동 1730-4,15036,정,경기도 시흥시 정왕동 1730-4,126.73161667020636,37.34598236787251
흰돌실버타운101동,병원부속시설,부산 수영구 연수로260번길 53,망미동 774-283,48239,정,부산광역시 수영구 망미동 774-283,129.0988476527567,35.17065686521251
노인요양시설 선산실버타운,"요양원,요양센터",경북 구미시 선산읍 선상동로 104,생곡리 839-1,39107,정,경상북도 구미시 선산읍 생곡리 839-1,128.32087302165502,36.270199731668846
포도나무실버타운,"요양원,요양센터",서울 송파구 가락로 2 금송빌딩,석촌동 221 금송빌딩 6층,05693,정,서울특별시 송파구 석촌동 221,127.0970182074189,37.49767980443269
효누리실버타운,"요양원,요양센터",경북 김천시 농소면 남곡3길 43-33 효누리실버타운,월곡리 1184 효누리실버타운,,정,경상북도 김천시 농소면 월곡리 1184,128.16503241053715,36.11495575737087
산청한방실버타운,"요양원,요양센터",경남 산청군 금서면 친환경로 2016 산청성모노인전문요양원,평촌리 289,52230,정,경상남도 산청군 금서면 평촌리 289,127.8480221196544,35.405006079077054
강북실버타운,"요양원,요양센터",대구 북구 칠곡중앙대로 525,읍내동 1206-4,41442,정,대구광역시 북구 읍내동 1206-4,128.5504161493934,35.942574261932606
금상실버타운,"요양원,요양센터",경북 칠곡군 동명면 남원로 459-1,남원리 222-3,39855,정,제주특별자치도 서귀포시 남원읍 남원리 222-3,126.72023378489249,33.283238939557236
혜민실버타운요양원,"요양원,요양센터",서울 광진구 자양로13길 13,자양동 627,05056,정,서울특별시 광진구 자양동 627,127.08323861465435,37.53537263535406
아름다운동행 실버타운,"요양원,요양센터",경북 상주시 내서면 북장1길 93-3 북장1길 89,북장리 213-2 북장1길 89,,정,경상북도 상주시 북장1길 89 (내서면),128.06652530129819,36.426379618084624
포천부모님실버타운,"요양원,요양센터",경기 포천시 내촌면 금강로3029번길 3,신팔리 410,11188,정,경기도 포천시 내촌면 신팔리 410,127.26751073734525,37.83344590472482
옥곡실버타운,"요양원,요양센터",경북 경산시 옥실길24길 13,옥곡동 612,38691,정,경상북도 경산시 옥곡동 612,128.73274821652498,35.805114243586786
강변늘푸른타운,아파트,경북 안동시 축제장1길 55 강변늘푸른타운,운흥동 346,36706,정,경상북도 안동시 운흥동 346,128.72858494581828,36.560974195440394
성은실버타운,"요양원,요양센터",경남 거창군 거창읍 거창대로 55 성은주상복합빌딩,대동리 931-3,50138,정,전북특별자치도 김제시 만경읍 대동리 931-3,126.84475704353663,35.84200099486961
노인요양시설조아재활전문실버타운,"요양원,요양센터",경북 구미시 봉곡북로 46 2층,봉곡동 185-3 2층,39208,정,경상북도 구미시 봉곡동 185-3,128.30893153870605,36.154060893392455
매그너스레지덴샬 실버타운 요양원,"요양원,요양센터",경기 남양주시 수동면 지둔로445번길 33-46 매그너스레지덴샬,지둔리 278-1,12028,정,경기도 남양주시 수동면 지둔리 278-1,127.29805896401724,37.72256225116866
무안실버타운,"요양원,요양센터",전남 무안군 무안읍 무안로 322-18,성남리 489-1,58531,정,전라남도 무안군 무안읍 성남리 489-1,126.46684587827355,34.975448620327676
시니어실버타운,"요양원,요양센터",서울 금천구 독산로 217 4층,독산동 1037-57,08617,정,서울특별시 금천구 독산동 1037-57,126.90153797280655,37.466146853052635
므두셀라 실버센터,"요양원,요양센터",서울 광진구 능동로 360 성곡빌딩,중곡동 41-16,04921,정,서울특별시 광진구 중곡동 41-16,127.08206807997315,37.56135030845058
동방실버타운요양원,"요양원,요양센터",경북 경산시 하양읍 금호강변로 660,금락리 375-40,38698,정,경상북도 경산시 하양읍 금락리 375-40,128.80734013460236,35.89819338964549
실버빌타운,주택,서울 송파구 위례성대로16길 18 실버타운,방이동 191-6 실버타운,05637,정,서울특별시 송파구 방이동 191-6,127.124309362739,37.51135618858436
에벤에셀요양원실버타운,"요양원,요양센터",경남 합천군 야로면 가야산로 728,월광리 245,50204,정,경상남도 합천군 야로면 월광리 245,128.15607874949717,35.73512817889022
작은예수회실버타운,종교,경기 가평군 조종면 연인산로474번길 140-35,마일리 102-11,12433,정,경기도 가평군 조종면 마일리 102-11,127.39039645514475,37.84294379511271
사랑샘실버타운,"요양원,요양센터",대전 서구 금평6길 10,흑석동 932,35426,정,대전광역시 서구 흑석동 932,127.34105575489679,36.252486718385384
예승실버타운,"요양원,요양센터",경기 고양시 덕양구 중앙로 628 예일프라자 9층 예승실버타운,화정동 1148-1 예일프라자 9층 예승실버타운,10503,정,경기도 고양시 덕양구 화정동 1148-1,126.828933679725,37.62752273429507
도담실버타운/요양원,"요양원,요양센터",충북 제천시 용두대로29안길 6-1,신월동 1117-4,27158,정,충청북도 제천시 신월동 1117-4,128.1813946443739,37.15315143396318
앞산실버타운,"요양원,요양센터",대구 서구 북비산로 246 앞산실버타운,평리동 670-3 앞산실버타운,41771,정,대구광역시 서구 평리동 670-3,128.5598783278347,35.878988487445234
용.인 실버타운,"요양원,요양센터",경기 용인시 기흥구 중부대로 940,상하동 2,17089,정,경기도 용인시 기흥구 상하동 2,127.15636144967098,37.25003925425701
가족실버타운요양원,"요양원,요양센터",경기 부천시 원미구 길주로363번길 24,춘의동 142-4,14529,정,경기도 부천시 원미구 춘의동 142-4,126.7828941365497,37.50393337933322
대덕실버타운,"요양원,요양센터",대구 남구 대명남로 103,대명동 1021-1,42493,정,대구광역시 남구 대명동 1021-1,128.56944292704796,35.835172961309354
에덴실버타운,"요양원,요양센터",대구 동구 공항로 251 에덴실버타운,지저동 677-2 에덴실버타운,41046,정,대구광역시 동구 지저동 677-2,128.64079884234246,35.896395525220036
마음다해실버타운,"요양원,요양센터",대구 달성군 논공읍 금강로10길 6-8,금포리 1362-2,42974,유,대구광역시 달성군 논공읍 금포리 1360,128.42814073655833,35.773143158062524
행복한실버타운,컨설팅,경기 양주시 장흥면 권율로 512 행복한실버타운,석현리 51-1 행복한실버타운,11519,정,경기도 양주시 장흥면 석현리 51-1,126.96835225292958,37.75035021319931
동호요양실버타운,"요양원,요양센터",경북 포항시 남구 호미곶면 해맞이로125번길 287,대보리 산136,37928,정,경상북도 포항시 남구 호미곶면 대보리 산 136,129.55460185261603,36.05408987299158
포은실버타운,"요양원,요양센터",경북 영천시 임고면 효자로 241-18,항리 506-9,38819,유,경상북도 청송군 주왕산면 항리 378,129.24272686954413,36.32719759414089
장수효실버타운,"요양원,요양센터",경북 영주시 장수면 장수로255번길 27,반구리 228,36145,정,경상북도 영주시 장수면 반구리 228,128.5880949270834,36.7873093481539
베아투스 실버타운,"요양원,요양센터",경기 고양시 일산동구 고봉로770번길 112-11,설문동 756-52,10251,정,경기도 고양시 일산동구 설문동 756-52,126.79239363819231,37.71958745316804
푸른마을 실버타운,"요양원,요양센터",인천 강화군 강화읍 갑룡길206번길 55,용정리 865-2,23023,정,전북특별자치도 정읍시 소성면 용정리 865-2,126.77558468088259,35.54017705356896
다사랑실버타운,"요양원,요양센터",대구 동구 신암로14길 3,신암동 1289-20,41205,정,대구광역시 동구 신암동 1289-20,128.60864329045233,35.87784132772377
"백년사랑실버타운 요양원,주간보호","요양원,요양센터",경북 경산시 남산면 서원길 58-12 백년사랑실버타운,사월리 202 백년사랑실버타운,38572,정,경상북도 경산시 남산면 사월리 202,128.83228718118963,35.78999360481865
연광실버타운,"요양원,요양센터",대전 서구 영골길 151,오동 277,35424,정,대전광역시 서구 오동 277,127.31327332366705,36.226075092522784
햇살실버타운,"요양원,요양센터",인천 강화군 강화읍 국화길 21,국화리 100,23028,정,경기도 화성시 우정읍 국화리 100,126.55456969578105,37.0596448298621
대한실버타운,"요양원,요양센터",대구 달성군 다사읍 달구벌대로 864 . 5층,죽곡리 117-3,42918,정,대구광역시 달성군 다사읍 죽곡리 117-3,128.4640555968596,35.85879890601741
은혜실버타운,"요양원,요양센터",경기 고양시 덕양구 고양대로 1387 성원코아쇼핑센타 6층,성사동 704-4,10464,정,경기도 고양시 덕양구 성사동 704-4,126.83834877143181,37.65454250634338
다사실버타운,"요양원,요양센터",대구 달성군 다사읍 죽곡1길 16-8 다사실버타운,죽곡리 192 다사실버타운,,정,경상남도 김해시 진영읍 죽곡리 192,128.76878460513225,35.27874204101067
김.포 실버타운,"요양원,요양센터",경기 김포시 김포대로 2529,월곶면 갈산리 465-1,10023,정,경기도 김포시 월곶면 갈산리 465-1,126.56923120830022,37.70119536899719
대운실버타운,"요양원,요양센터",대구 달서구 중흥로16길 65,송현동 1990,42819,정,대구광역시 달서구 송현동 1990,128.55648101450157,35.8266115836516
마루실버타운,"요양원,요양센터",경북 김천시 아포읍 금계길 43-18 마루실버타운,송천리 691-3 마루실버타운,39676,정,경상북도 영천시 청통면 송천리 691-3,128.80515615834636,35.984921922234406
해맞이실버타운,"요양원,요양센터",경북 영덕군 영덕읍 매정길 88,매정리,36424,대,전북특별자치도 정읍시 옹동면 매정리,126.96224662529887,35.638009260063946
사랑행복실버타운,"요양원,요양센터",경기 군포시 용호1로2번길 19 대림프라자 3충,당동 966-12 대림프라자 3층,15871,정,경기도 군포시 당동 966-12,126.93975484401157,37.34476407941027
경산제일실버타운,"요양원,요양센터",경북 경산시 압량읍 부적길 79,부적리 783,38508,정,경상북도 경산시 압량읍 부적리 783,128.76210858820986,35.8464943302834
우주실버타운,기업,인천 옹진군 영흥면 영흥남로 15-20,외리 68-222,23121,정,인천광역시 옹진군 영흥면 외리 68-222,126.47567789360572,37.25074784515801
희망실버타운,"요양원,요양센터",경북 상주시 사벌국면 배목길 138-22,덕담리 926-1,37127,정,경상북도 상주시 사벌국면 덕담리 926-1,128.19854883996078,36.47150349189229
다사효실버타운,"요양원,요양센터",대구 달성군 다사읍 달구벌대로92길 18,문산리 59-4,,정,대구광역시 달성군 다사읍 문산리 59-4,128.43440717232804,35.856659410811126
에덴실버타운,"요양원,요양센터",경기 고양시 덕양구 중앙로557번길 8-9 M&G프라자,행신동 998 앰앤지프라자 2층 전관,10518,정,경기도 고양시 덕양구 행신동 998,126.83442026474863,37.62338732329705
흰돌실버타운102동,병원부속시설,부산 수영구 연수로260번길 53,망미동 774-283,48239,정,부산광역시 수영구 망미동 774-283,129.0988476527567,35.17065686521251
포도나무실버타운,"요양원,요양센터",충남 보령시 오천면 원산도3길 215 포도나무실버타운,원산도리 692,,정,충청남도 보령시 오천면 원산도리 692,126.43157459304815,36.374408819973574
현풍효실버타운,기업,대구 달성군 현풍읍 테크노상업로 34,중리 497-1,43017,정,울산광역시 울주군 범서읍 중리 497-1,129.23509280272575,35.59948377686796
다은실버타운,"요양원,요양센터",대구 달서구 월곡로 184 상인리빙프라자,상인동 1525-1,42811,정,대구광역시 달서구 상인동 1525-1,128.54499031678063,35.81264147752119
효담실버타운,"요양원,요양센터",전남 나주시 남평읍 원암길 39,풍림리 523-1,58226,정,전라남도 나주시 남평읍 풍림리 523-1,126.8644208466848,35.03945953717146
노인요양시설 영남힐실버타운,"요양원,요양센터",경북 구미시 무을면 무을들길 100 노인요양시설 영남힐실버타운,무등리 280 노인요양시설 영남힐실버타운,39100,정,대구광역시 달성군 하빈면 무등리 280,128.46931218290428,35.92292234108231
대자연실버타운,"요양원,요양센터",경북 영천시 천문로 72-33,도동 252-7,38896,정,경상북도 영천시 도동 252-7,128.93076295717208,35.94540824930944
기성동 사랑샘 실버타운 지하 1층 대피소,민방위대피시설,대전 서구 금평6길 10,흑석동 932,35426,정,대전광역시 서구 흑석동 932,127.34105575489679,36.252486718385384
실버타운월암점,"요양원,요양센터",경기 의왕시 월암새터마을길 6,월암동 353-7,16107,정,경기도 의왕시 월암동 353-7,126.95467761820781,37.312467176231834
삼성노블카운티,노인복지,경기 용인시 기흥구 덕영대로 1751,하갈동 471-3,17099,정,경기도 용인시 기흥구 하갈동 471-3,127.08285445962389,37.25196463865895
더시그넘하우스,노인복지,서울 강남구 자곡로 204-25,자곡동 664,06373,정,서울특별시 강남구 자곡동 664,127.10372776970252,37.47322640542342
시니어타운 마리스텔라,노인복지,인천 서구 심곡로100번길 31,심곡동 205-13,22711,유,강원특별자치도 동해시 심곡동 205-3,129.0852450319121,37.5767997452639
실버캐슬요양타운,"요양원,요양센터",서울 금천구 독산로 194,독산동 378-392,08562,정,서울특별시 금천구 독산동 378-392,126.90315697348258,37.46442284418807
나눔실버타운,"요양원,요양센터",전남 나주시 남평읍 원암길 39,풍림리 523-1,58226,정,전라남도 나주시 남평읍 풍림리 523-1,126.8644208466848,35.03945953717146
사랑마을실버타운,"요양원,요양센터",대구 달성군 옥포읍 용연사길 96,반송리 404,42977,정,울산광역시 울주군 언양읍 반송리 404,129.17014867218322,35.548437120728494
흰돌실버타운 지하주차장 1층 대피소,민방위대피시설,부산 수영구 연수로260번길 53,망미동 774-283,48239,정,부산광역시 수영구 망미동 774-283,129.0988476527567,35.17065686521251
홍익원,"요양원,요양센터",충남 금산군 금산읍 후곤천길 73 디엔에스프라자,상리 34-13,32735,정,충청남도 금산군 금산읍 상리 34-13,127.49032275578473,36.10571246990337
성림효사랑실버타운,"요양원,요양센터",대구 북구 신천동로 740,대현동 411-4,41572,정,대구광역시 북구 대현동 411-4,128.6028241409549,35.88543970793427
Silver 인현지하상가점,"상가,아케이드",인천 중구 참외전로 117-15 인현지하상가 66,인현동 1-1 인현지하상가 66,22317,정,인천광역시 중구 인현동 1-1,126.6316933688248,37.4762571608131
더클래식500,노인복지,서울 광진구 능동로 90 더 클래식 500,자양동 227-342 더 클래식 500,05065,정,서울특별시 광진구 자양동 227-342,127.07093782160831,37.53866116829718
사회복지법인 백세재단 청라백세마을,노인복지,인천 서구 로봇랜드로249번길 14 청라백세실버타운,청라동 11-23 청라백세실버타운,22756,정,인천광역시 서구 청라동 11-23,126.61018987418034,37.52884662437497
백양사실버타운,"요양원,요양센터",전남 나주시 봉황면 송현제길 55,송현리 649-62,58237,정,전라남도 나주시 봉황면 송현리 649-62,126.80503747396592,34.96054801804505
서울시니어스 고창타워,노인복지,전북 고창군 고창읍 석정2로 140,석정리 830,,정,경기도 김포시 대곶면 석정리 830,126.55203648670069,37.670504519200506
부영실버타운아파트상가,"상가,아케이드",전북 김제시 하동1길 79-1,하동 404-20,54366,정,전북특별자치도 김제시 하동 404-20,126.89586346754864,35.81417056971523
강동노인복지타운,노인복지,경북 구미시 인동가산로 473-38,신동 659-2,39444,정,대전광역시 유성구 신동 659-2,127.36932042795182,36.47465701345484
블루밍더클래식,노인복지,경기 하남시 하남대로 770,신장동 517,12950,정,경기도 하남시 신장동 517,127.21182690563668,37.53968510642401
서울시니어스타워 강남본부,노인복지,서울 강남구 자곡로 100-2,자곡동 631,06373,정,서울특별시 강남구 자곡동 631,127.09573639029334,37.471544533458605
우디실버스튜디오,"상가,아케이드",경남 창원시 성산구 동산로61번길 8,상남동 104-12,51502,정,경상남도 창원시 성산구 상남동 104-12,128.68575423841543,35.21577434448456
더시그넘하우스 청라,노인복지,인천 서구 담지로 60,청라동 137-4,22733,정,인천광역시 서구 청라동 137-4,126.66103114256624,37.5354714187957
금강전원실버요양원,"요양원,요양센터",대구 동구 금강로39길 61,금강동 429-1,41095,정,대구광역시 동구 금강동 429-1,128.74167887377783,35.861273288320575
서울시니어스타워 서울본부,노인복지,서울 중구 다산로 72 서울시니어스 서울타워,신당동 366-144 서울시니어스 서울타워,04597,정,서울특별시 중구 신당동 366-144,127.00816002643874,37.55118800196421
새봄노인복지센터,노인복지,대구 북구 호국로 215 403호 새봄 노인복지센터,서변동 1787 403호 새봄 노인복지센터,41476,정,대구광역시 북구 서변동 1787,128.59888943867713,35.92061528804176
함안양로원,노인복지,경남 함안군 대산면 대산중앙로 147-26,평림리 1040-2,52011,정,경상남도 함안군 대산면 평림리 1040-2,128.43244423057646,35.34881277658501
대구성로원,노인복지,대구 달서구 진천로3길 80,진천동 700,42771,정,대구광역시 달서구 진천동 700,128.52143699990796,35.81057515008666
실버캐슬요양타운,"요양원,요양센터",서울 양천구 신월로 107,신월7동 982-5,08044,정,서울특별시 양천구 신월동 982-5,126.83580468302169,37.516244142680385
케어닥케어홈 배곧신도시점 1관,노인복지,경기 시흥시 배곧5로 66-8,배곧동 18-16,15010,정,경기도 시흥시 배곧동 18-16,126.73480812281278,37.3817224551914
사이언스빌리지,노인복지,대전 유성구 대덕대로 522,도룡동 441,34121,정,대전광역시 유성구 도룡동 441,127.37956183171748,36.37934456865816
서울시니어스타워 강서본부,노인복지,서울 강서구 공항대로 315,등촌동 669-1,07591,정,서울특별시 강서구 등촌동 669-1,126.8428413394626,37.55857901669832
실버세상요양타운,"요양원,요양센터",경기 동두천시 중앙로265번길 24 1층-4층,생연동 659-40,11328,정,경기도 동두천시 생연동 659-40,127.0524638041824,37.90561261672333
서울시니어스타워 분당본부,노인복지,경기 성남시 분당구 구미로173번길 47,구미동 297-2,13619,정,경기도 성남시 분당구 구미동 297-2,127.12345421072325,37.3471813820925
전국노인주거복지시설협회,노인복지,충남 천안시 동남구 목천읍 운전4길 6,운전리 41-9,,정,충청남도 천안시 동남구 목천읍 운전리 41-9,127.23081798518696,36.7653458522794
대구샘노인요양센터,재가노인요양센터,대구 달서구 진천로3길 80 1층,진천동 700 1층,42771,정,대구광역시 달서구 진천동 700,128.52143699990796,35.81057515008666
KB골든라이프케어 평창카운티,노인복지,서울 종로구 평창문화로 87,평창동 153-3,03009,정,서울특별시 종로구 평창동 153-3,126.97078988483487,37.60726766051783
케어닥 방문요양돌봄센터 노블카운티점,재가노인요양센터,경기 용인시 기흥구 덕영대로 1751 2층,하갈동 471-3 2층,17099,정,경기도 용인시 기흥구 하갈동 471-3,127.08285445962389,37.25196463865895
사랑나눔주간보호센터 신가점,재가노인요양센터,광주 광산구 목련로382번안길 34,신가동 296,62302,정,광주광역시 광산구 신가동 296,126.83593524210978,35.18055871237646
오로지종합복지원,노인복지,경기 안성시 양성면 미리내성지로 386-27,미산리 175-1,17500,정,경기도 안성시 양성면 미산리 175-1,127.26095055855839,37.1375256041102
송산실버빌,"요양원,요양센터",광주 광산구 삼도세동길 9-11 송산실버빌,송산동 1235-2 송산실버빌,62406,정,광주광역시 광산구 송산동 1235-2,126.71516391241508,35.160454807340244
가나의작은행복,노인복지,충북 음성군 원남면 하노길 180 가나의작은행복,하노리 124-1 가나의작은행복,27719,정,충청북도 음성군 원남면 하노리 124-1,127.69754254151587,36.90080355498741
다사재가노인복지센터,노인복지,대구 달성군 다사읍 죽곡1길 16-8,죽곡리 192,,정,경상북도 영천시 화남면 죽곡리 192,128.95803481366514,36.0666674527345
동행 위드유 주간보호센터,노인복지,경북 문경시 상신로 47 1층 동행 위드유 주간보호센터,점촌동 462-3 1층 동행 위드유 주간보호센터,36955,정,경상북도 문경시 점촌동 462-3,128.1941360468785,36.59556909862038
정원속궁전,노인복지,경기 성남시 분당구 불정로 112 피더하스,정자동 209,13606,정,경기도 성남시 분당구 정자동 209,127.11699770533099,37.35767317724721
하랑실버빌리지,"요양원,요양센터",경기 부천시 원미구 조마루로385번길 37 단독건물 (하랑실버빌리지빌딩),춘의동 205-17 단독건물 (하랑실버빌리지빌딩),14557,정,경기도 부천시 원미구 춘의동 205-17,126.78699284317193,37.49940736912546
파라다이스실버케어,"요양원,요양센터",경기 남양주시 진접읍 봉현로59번길 23-1 파라다이스실버케어,장현리 576-23 파라다이스실버케어,12007,정,경기도 남양주시 진접읍 장현리 576-23,127.17537439029046,37.71782737148578
서울시니어스타워 가양본부,노인복지,서울 강서구 화곡로68길 102,등촌동 637,07550,정,서울특별시 강서구 등촌동 637,126.85925149824514,37.556879758293064
다올재활실버케어,"요양원,요양센터",경기 포천시 소흘읍 광릉수목원로 1163 다올재활실버케어,이동교리 733-42 다올재활실버케어,11184,정,경기도 포천시 소흘읍 이동교리 733-42,127.1187118516923,37.77921917371691
데이브실버케어,"요양원,요양센터",경기 고양시 덕양구 보광로 110 데이브실버케어,벽제동 518-7 데이브실버케어,10267,정,경기도 고양시 덕양구 벽제동 518-7,126.90696984289612,37.725068727270596
연세숲속주간보호,재가노인요양센터,대구 북구 장태실길 13,팔달동 281-10,41490,정,대구광역시 북구 팔달동 281-10,128.5359144044123,35.89626358041075
덕인러브힐,노인복지,경남 창녕군 대지면 대초길 36-28,본초리 산35,50319,유,경상남도 창녕군 대지면 본초리 산 35-1,128.45274100151994,35.540346335180914
계양데이케어센터,노인복지,인천 계양구 아나지로 191,효성동 273-101,21112,정,인천광역시 계양구 효성동 273-101,126.71322699242882,37.525512815965584
희망세상,"사회,복지",경북 상주시 사벌국면 배목길 138-22,덕담리 926-1,37127,정,경상북도 상주시 사벌국면 덕담리 926-1,128.19854883996078,36.47150349189229
주안 에쉐르카운티,노인복지,인천 미추홀구 주승로 110,주안동 1216-17,22231,정,인천광역시 미추홀구 주안동 1216-17,126.6826567538624,37.44506778932481
아산실버요양원,"요양원,요양센터",충남 아산시 송악면 외암로 759 아산실버요양원,마곡리 165-1 아산실버요양원,31583,정,경상북도 경산시 진량읍 마곡리 165-1,128.8466776906849,35.84635111115906
민들레실버요양원,"요양원,요양센터",울산 울주군 온양읍 솔밭1길 30-9 민들레실버요양원,대안리 204-2 민들레실버요양원,,정,경상북도 영천시 화산면 대안리 204-2,128.82779991442845,36.03096170536
백세만세실버케어,"요양원,요양센터","경기 남양주시 진접읍 봉현로 67-5 1,2동","장현리 570 1,2동",12007,정,충청남도 보령시 청라면 장현리 570-1,126.67364043909552,36.422285659172246
푸른마을,노인복지,인천 강화군 강화읍 갑룡길206번길 55 푸른마을,용정리 865-2,23023,정,전북특별자치도 정읍시 소성면 용정리 865-2,126.77558468088259,35.54017705356896